COMPANY_ADDRESS,COMPANY_NAME,GOODS_NAME,GOODS_PRICE,GOODS_URL,SHOP_NAME,SHOP_URL,file_urls
,,网红同款牛仔裤女春秋装2018新款夏韩版显瘦宽松樱田川岛直筒裤子,59.00,https://detail.tmall.com/item.htm?id=565587139587&skuId=3582114913870&user_id=2946310067&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,右风左岸旗舰店,//rate.taobao.com/user-rate-UvCk0MCvYvmNLMWTT.htm,http://img.alicdn.com/bao/uploaded/i2/2946310067/TB1W5HPhQ9WBuNjSspeXXaz5VXa_!!0-item_pic.jpg
"广东,  汕头",,运动裤女夏2018新款学生韩版宽松原宿bf哈伦裤薄款秋百搭休闲裤子,59.00,https://detail.tmall.com/item.htm?id=561646062573&skuId=3570742932552&user_id=2114349407&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,佐美淇旗舰店,//rate.taobao.com/user-rate-UvCHYMmv0OFQWMWTT.htm,http://img.alicdn.com/bao/uploaded/i1/2114349407/TB1r_m8a3jN8KJjSZFCXXb3GpXa_!!0-item_pic.jpg
"广东,  广州",,高腰牛仔裤女九分裤2018春秋新款韩版显瘦秋装紧身小脚加绒长裤子,49.90,https://detail.tmall.com/item.htm?id=536302361311&skuId=4611686554729749215&user_id=749769391&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,爱斯麦乐驹专卖店,//rate.taobao.com/user-rate-UMGQSMGxSvGkY.htm,http://img.alicdn.com/bao/uploaded/i1/749769391/TB1cEzGaaSWBuNjSsrbXXa0mVXa_!!0-item_pic.jpg
"浙江省,  杭州市",,2018新款运动裤女裤秋学生韩版宽松显瘦ulzzang百搭原宿风bf休闲,59.00,https://detail.tmall.com/item.htm?id=575335684666&skuId=3777430204250&user_id=2233272961&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,茜子澜旗舰店,//rate.taobao.com/user-rate-UvCIGvGIuvCkLvQTT.htm,http://img.alicdn.com/bao/uploaded/i1/2233272961/TB2GlT_dHAaBuNjt_igXXb5ApXa_!!2233272961-0-item_pic.jpg
,,休闲裤女秋2018新款九分学生韩版宽松显瘦女生帅气裤子潮运动裤女,59.00,https://detail.tmall.com/item.htm?id=574427103999&skuId=4611686592854491903&user_id=3838526892&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,利恋旗舰店,//rate.taobao.com/user-rate-UvGgGOm8yMCgSvgTT.htm,http://img.alicdn.com/bao/uploaded/i2/3838526892/TB2qzeXJACWBuNjy0FaXXXUlXXa_!!3838526892-0-item_pic.jpg
,,ins超火的牛仔裤女春秋2018新款韩版显瘦高腰紧身小脚黑色九分裤,69.00,https://detail.tmall.com/item.htm?id=564175119642&skuId=4611686582602507546&user_id=3434342272&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,韩蜓旗舰店,//rate.taobao.com/user-rate-UvGQGMmv0vCIuvgTT.htm,http://img.alicdn.com/bao/uploaded/i1/3434342272/TB1llUGeBfM8KJjSZFhXXcRyFXa_!!0-item_pic.jpg
"广东,  广州",,破洞牛仔外套女短款韩版春秋短外套修身牛仔上衣服女装2018新款潮,69.00,https://detail.tmall.com/item.htm?id=526143622514&skuId=3132121858025&user_id=2086112839&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,红笛格旗舰店,//rate.taobao.com/user-rate-UvCN4MCHYvCgGOQTT.htm,http://img.alicdn.com/bao/uploaded/i4/2086112839/TB1YbRSxljTBKNjSZFDXXbVgVXa_!!0-item_pic.jpg
上海,,女装 花式开领衬衫(长袖) 408902 优衣库UNIQLO,149.00,https://detail.tmall.com/item.htm?id=571357292979&skuId=3703622337330&user_id=196993935&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,优衣库官方旗舰店,//rate.taobao.com/user-rate-UvFkLOFkGOFvb.htm,http://img.alicdn.com/bao/uploaded/i2/196993935/TB1EfJ0cRgXBuNjt_hNXXaEiFXa_!!0-item_pic.jpg
"广东,  广州",,破洞牛仔裤女夏九分裤春秋2018新款韩版学生bf百搭高腰宽松长裤子,68.00,https://detail.tmall.com/item.htm?id=572350070747&skuId=4611686590777458651&user_id=843879555&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,慕汀服饰旗舰店,//rate.taobao.com/user-rate-UOmQGOmcSMF8b.htm,http://img.alicdn.com/bao/uploaded/i3/843879555/TB2S8A6rviSBuNkSnhJXXbDcpXa_!!843879555-0-item_pic.jpg
,,2018新款春秋紧身小脚牛仔裤女九分高腰ins超火不规则初恋长裤夏,79.00,https://detail.tmall.com/item.htm?id=564373959099&skuId=3729003615998&user_id=3547956770&cat_id=2&is_b=1&rn=b55e3c1570304b2409c72e8923b7203d,梦舒芳旗舰店,//rate.taobao.com/user-rate-UvG80MGkbMCcuvNTT.htm,http://img.alicdn.com/bao/uploaded/i1/TB1r2djbb9YBuNjy0FgYXIxcXXa_M2.SS2
