COMPANY_ADDRESS,COMPANY_NAME,GOODS_NAME,GOODS_PRICE,GOODS_URL,IP,LAST_CHECK_TIME,PORT,POSITION,SHOP_NAME,SHOP_URL,SPEED,TYPE
上海,,Seagate/希捷 STDR1000,379.00,https://detail.tmall.com/item.htm?id=10152256872&skuId=78140728882&standard=1&user_id=680956838&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,seagate旗舰店,//rate.taobao.com/user-rate-UMCgWOF8LOmv4.htm,,
上海,,Toshiba/东芝 HDTB110A,349.00,https://detail.tmall.com/item.htm?id=15354239784&skuId=3757349821066&standard=1&user_id=874887241&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝祝庆专卖店,//rate.taobao.com/user-rate-UOmc0OmguvCQY.htm,,
"广东省,  深圳市",,WD/西部数据 WDBYNN0010,379.00,https://detail.tmall.com/item.htm?id=45669350384&skuId=3445712899582&standard=1&user_id=2037117585&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,西数官方旗舰店,//rate.taobao.com/user-rate-UvCNGMGHYMG84MQTT.htm,,
,,Seagate/希捷 ST1000DM010,279.00,https://detail.tmall.com/item.htm?id=540210701968&skuId=3917892555229&standard=1&user_id=2864394693&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,希捷煜强专卖店,//rate.taobao.com/user-rate-UvCgLMmvSMmxSvWTT.htm,,
"江苏省,  南京市",,WD/西部数据 WD10EZEX,273.00,https://detail.tmall.com/item.htm?id=40000831870&skuId=3911785195184&standard=1&user_id=1746864514&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,和瑟数码专营店,//rate.taobao.com/user-rate-UvFc0MCgLMm8YMNTT.htm,,
,,Samsung/三星 MZ-76E250,359.00,https://detail.tmall.com/item.htm?id=564100865607&skuId=3899592779357&standard=1&user_id=3208350802&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,三星存储旗舰店,//rate.taobao.com/user-rate-UvGIWOmvbvmgWvgTT.htm,,
"江苏,  南京",,Kingston/金士顿 SA400S37/480G,529.00,https://detail.tmall.com/item.htm?id=544959928102&skuId=3812905236795&standard=1&user_id=704392951&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,kingston金士顿旗舰店,//rate.taobao.com/user-rate-UMGN0vGkyOF8Y.htm,,
"江苏,  南京",,Kingston/金士顿 SA400S37/120G,205.00,https://detail.tmall.com/item.htm?id=544959480906&skuId=3922173019832&standard=1&user_id=704392951&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,kingston金士顿旗舰店,//rate.taobao.com/user-rate-UMGN0vGkyOF8Y.htm,,
"江苏,  南京",,影驰 铁甲战将240G,265.00,https://detail.tmall.com/item.htm?id=527922188250&skuId=3237788828996&standard=1&user_id=2731691808&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,影驰电脑硬件旗舰店,//rate.taobao.com/user-rate-UvCcGvFxSvFgWONTT.htm,,
"江苏省,  南京市",,WD/西部数据 WD20EZRZ,349.00,https://detail.tmall.com/item.htm?id=523307965803&skuId=3742872456901&standard=1&user_id=1746864514&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,和瑟数码专营店,//rate.taobao.com/user-rate-UvFc0MCgLMm8YMNTT.htm,,
"江苏,  南京",,Kingston/金士顿 SA400S37/240G,295.00,https://detail.tmall.com/item.htm?id=545020495706&skuId=3814932525943&standard=1&user_id=704392951&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,kingston金士顿旗舰店,//rate.taobao.com/user-rate-UMGN0vGkyOF8Y.htm,,
上海,,Seagate/希捷 STDR2000,539.00,https://detail.tmall.com/item.htm?id=36299592403&skuId=59473355147&standard=1&user_id=680956838&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,seagate旗舰店,//rate.taobao.com/user-rate-UMCgWOF8LOmv4.htm,,
,,纽曼 清风2.0,129.00,https://detail.tmall.com/item.htm?id=554738813806&skuId=3680965896205&standard=1&user_id=3302094416&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,纽曼致庸专卖店,//rate.taobao.com/user-rate-UvGvWvCNSMmQYMgTT.htm,,
"广东,  广州",,影驰 铁甲战将 120GB,155.00,https://detail.tmall.com/item.htm?id=39916555226&skuId=3520615749309&standard=1&user_id=1699764759&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,九日堂数码专营店,//rate.taobao.com/user-rate-UvFxSOFcLMmcbOQTT.htm,,
"江苏,  南京",,WD/西部数据 WDBUZG0010,349.00,https://detail.tmall.com/item.htm?id=553273646296&skuId=3396571852717&standard=1&user_id=2616970884&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,苏宁易购官方旗舰店,//rate.taobao.com/user-rate-UvCxYMCkuvmg4MNTT.htm,,
上海,,Toshiba/东芝 HDTB120A,529.00,https://detail.tmall.com/item.htm?id=17327350365&skuId=3916383698416&standard=1&user_id=874887241&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝祝庆专卖店,//rate.taobao.com/user-rate-UOmc0OmguvCQY.htm,,
"浙江,  杭州",,Toshiba/东芝 HDTC810H,359.00,https://detail.tmall.com/item.htm?id=44198874506&skuId=3263893868155&standard=1&user_id=1705684430&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,东芝赞恩专卖店,//rate.taobao.com/user-rate-UvFcWMFx4MmQGvNTT.htm,,
"江苏,  南京",,Kingston/金士顿 SA1000M8/240G,398.00,https://detail.tmall.com/item.htm?id=570597116831&skuId=3851514038575&standard=1&user_id=704392951&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,kingston金士顿旗舰店,//rate.taobao.com/user-rate-UMGN0vGkyOF8Y.htm,,
上海,,WD/西部数据 WD GREEN PC SSD 120G,169.00,https://detail.tmall.com/item.htm?id=554902338584&skuId=3789050113843&standard=1&user_id=1577744489&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,易华旗舰店,//rate.taobao.com/user-rate-UvF8uMGc0MmQ4OQTT.htm,,
"湖北省,  武汉市",,AData/威刚 SU800 128G,155.00,https://detail.tmall.com/item.htm?id=540346037673&skuId=3796809784729&standard=1&user_id=2133729733&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,瑞达中腾数码专营店,//rate.taobao.com/user-rate-UvCHGvGcyOFcGvWTT.htm,,
"广东省,  深圳市",,eekoo/壹酷 FONE 120G,139.00,https://detail.tmall.com/item.htm?id=570262192129&skuId=3676994888459&standard=1&user_id=2357345202&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,eekoo壹酷旗舰店,//rate.taobao.com/user-rate-UvCvbMGv0MFIWvgTT.htm,,
"江苏省,  南京市",,WD/西部数据 WD40EZRZ,633.00,https://detail.tmall.com/item.htm?id=523160102571&skuId=3909670414447&standard=1&user_id=1746864514&cat_id=2&is_b=1&rn=25791b57c83899cb6cd226f02961eb3d,,,,,和瑟数码专营店,//rate.taobao.com/user-rate-UvFc0MCgLMm8YMNTT.htm,,
